"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051702","biological process involved in interaction with symbiont","2/11","116/18903",0.00198043812146921,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0071346","cellular response to interferon-gamma","2/11","118/18903",0.00204831883219939,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0051897","positive regulation of protein kinase B signaling","2/11","120/18903",0.00211729873335538,0.0236516110211335,0.0124157144566071,"CHI3L1/CCL3",2
"GO:0071675","regulation of mononuclear cell migration","2/11","123/18903",0.00222282480909087,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0072676","lymphocyte migration","2/11","124/18903",0.00225854740792045,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0002688","regulation of leukocyte chemotaxis","2/11","127/18903",0.00236735312916309,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0051928","positive regulation of calcium ion transport","2/11","129/18903",0.00244125250646577,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0071621","granulocyte chemotaxis","2/11","130/18903",0.00247861005273179,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:1990266","neutrophil migration","2/11","130/18903",0.00247861005273179,0.0236516110211335,0.0124157144566071,"CCL3/CCL4",2
"GO:0043410","positive regulation of MAPK cascade","3/11","496/18903",0.00253189569677931,0.0236516110211335,0.0124157144566071,"CHI3L1/CCL3/CCL4",3
"GO:0007586","digestion","2/11","139/18903",0.00282701513582812,0.0255369793061421,0.013405422694718,"SERPINA3/NPC1L1",2
"GO:0034341","response to interferon-gamma","2/11","140/18903",0.00286707600565042,0.0255369793061421,0.013405422694718,"CCL3/CCL4",2
"GO:0050921","positive regulation of chemotaxis","2/11","144/18903",0.00303000533962775,0.0263748192063052,0.0138452397097823,"CCL3/CCL4",2
"GO:0002687","positive regulation of leukocyte migration","2/11","148/18903",0.00319721918739625,0.0272118877505059,0.014284651808016,"CCL3/CCL4",2
"GO:0097530","granulocyte migration","2/11","158/18903",0.00363388643042419,0.0302560544098362,0.0158826615151263,"CCL3/CCL4",2
"GO:0031214","biomineral tissue development","2/11","174/18903",0.00438736730071374,0.035752376088795,0.0187679093938707,"OC90/CCL3",2
"GO:0110148","biomineralization","2/11","181/18903",0.00473799528874321,0.0378052540747635,0.0198455504418849,"OC90/CCL3",2
"GO:0051896","regulation of protein kinase B signaling","2/11","189/18903",0.00515418780411213,0.0402868148770397,0.0211482249320175,"CHI3L1/CCL3",2
"GO:0035907","dorsal aorta development","1/11","10/18903",0.00580534598891391,0.0427586060337313,0.0224457709287967,"NGFR",1
"GO:0048840","otolith development","1/11","10/18903",0.00580534598891391,0.0427586060337313,0.0224457709287967,"OC90",1
"GO:1903980","positive regulation of microglial cell activation","1/11","10/18903",0.00580534598891391,0.0427586060337313,0.0224457709287967,"CCL3",1
"GO:0071674","mononuclear cell migration","2/11","206/18903",0.00609281396068358,0.044029202772487,0.0231127600097431,"CCL3/CCL4",2
"GO:0019722","calcium-mediated signaling","2/11","208/18903",0.00620804397846886,0.0440311267361773,0.0231137699783149,"CCL3/CCL4",2
"GO:0042487","regulation of odontogenesis of dentin-containing tooth","1/11","11/18903",0.00638419218560715,0.0444571928561371,0.023337429807674,"NGFR",1
"GO:0043491","protein kinase B signaling","2/11","218/18903",0.00679921361202201,0.0465017645250791,0.0244107105243647,"CHI3L1/CCL3",2
"GO:1903977","positive regulation of glial cell migration","1/11","12/18903",0.00696273198477881,0.046784672810005,0.0245592208512051,"CCL3",1
"GO:0051651","maintenance of location in cell","2/11","226/18903",0.00729005010626712,0.0481394688051777,0.0252704096242653,"CCL3/LCN2",2
"GO:0050920","regulation of chemotaxis","2/11","230/18903",0.00754139048145091,0.0485442268559119,0.0254828839617402,"CCL3/CCL4",2
"GO:0002685","regulation of leukocyte migration","2/11","231/18903",0.00760483971633085,0.0485442268559119,0.0254828839617402,"CCL3/CCL4",2
"GO:0046348","amino sugar catabolic process","1/11","14/18903",0.00811889297439061,0.0497710585661287,0.0261268989587208,"CHI3L1",1
"GO:1901678","iron coordination entity transport","1/11","14/18903",0.00811889297439061,0.0497710585661287,0.0261268989587208,"LCN2",1
"GO:0030595","leukocyte chemotaxis","2/11","240/18903",0.00818688430722221,0.0497710585661287,0.0261268989587208,"CCL3/CCL4",2
"GO:0097529","myeloid leukocyte migration","2/11","242/18903",0.0083189057108829,0.0497834513635648,0.0261334044535959,"CCL3/CCL4",2
